country,year,NY.GDP.MKTP.KD.ZG,NY.GDP.PCAP.CD,SE.XPD.TOTL.GD.ZS,NE.GDI.TOTL.ZS,NE.TRD.GNFS.ZS
El Salvador,2008,2.15440298282768,2983.24829577976,4.45810985565186,20.1725812522343,80.6659739399085
El Salvador,2009,-2.10876837627522,2910.18651752011,4.65950012207031,14.0546154274436,66.0711911744487
El Salvador,2010,2.15419536693635,3040.07300952878,4.04807996749878,16.6715814032151,73.5372876725398
El Salvador,2011,3.77358499834686,3330.60049486653,3.89854001998901,17.7899287016523,79.2766437025052
El Salvador,2012,2.88770010188691,3497.91256915509,3.7124400138855,17.7095456638993,77.6485716222883
El Salvador,2013,2.18295232499635,3582.26694005169,3.80149006843567,17.0194025181256,80.4511944908271
El Salvador,2014,1.7293998423459,3666.01248913873,3.82416009902954,16.397215655674,78.1044257477935
El Salvador,2015,2.40000008852115,3790.34089108162,3.90987992286682,16.0169876236441,76.5602707370519
El Salvador,2016,2.53906241135864,3901.34014965811,3.82523989677429,15.967514115536,72.8190933731491
El Salvador,2017,2.24761908134138,4020.12671373919,3.7252299785614,16.6770019364119,74.3046511916519
El Salvador,2018,2.4124442237792,4183.54620971358,3.60575008392334,18.3715366715538,75.6336168879956
El Salvador,2019,2.43747159065784,4320.11671534627,3.38710999488831,18.3447949008115,76.0420130991468
El Salvador,2020,-7.893101359867,3997.19279583709,3.66088008880615,17.2116179042815,66.4595069497083
Equatorial Guinea,2000,18.2137799569674,1487.3165506701,,,
Equatorial Guinea,2001,63.3798754250602,1948.61145907844,,,
Equatorial Guinea,2002,19.4628340359251,2264.21065580365,,,
Equatorial Guinea,2003,13.9552503163825,2930.60183743733,,,
Equatorial Guinea,2004,37.9987268556423,4901.30127408119,,,
Equatorial Guinea,2005,16.7487006053541,8673.9026086535,,39.4767488235046,131.02447181321
Equatorial Guinea,2006,7.70491760658767,10184.8841248541,,26.5011245422482,118.532782368937
Equatorial Guinea,2007,15.2821139194857,12616.9532942011,,29.585907339941,134.083789857569
